data,municipio,uf,casos confirmados,mortes
29/03/2020,Acrelândia,AC,2,
30/03/2020,Acrelândia,AC,6,
31/03/2020,Acrelândia,AC,7,
01/04/2020,Acrelândia,AC,8,
02/04/2020,Acrelândia,AC,8,
03/04/2020,Acrelândia,AC,9,0.0
04/04/2020,Acrelândia,AC,9,0.0
05/04/2020,Acrelândia,AC,9,0.0
06/04/2020,Acrelândia,AC,9,0.0
07/04/2020,Acrelândia,AC,9,0.0
08/04/2020,Acrelândia,AC,9,0.0
09/04/2020,Acrelândia,AC,9,0.0
10/04/2020,Acrelândia,AC,9,0.0
11/04/2020,Acrelândia,AC,9,0.0
12/04/2020,Acrelândia,AC,10,0.0
13/04/2020,Acrelândia,AC,11,0.0
08/04/2020,Bujari,AC,1,0.0
09/04/2020,Bujari,AC,1,0.0
10/04/2020,Bujari,AC,1,0.0
11/04/2020,Bujari,AC,1,0.0
12/04/2020,Bujari,AC,1,0.0
13/04/2020,Bujari,AC,1,0.0
13/04/2020,Cruzeiro do Sul,AC,2,0.0
06/04/2020,Plácido de Castro,AC,1,0.0
07/04/2020,Plácido de Castro,AC,1,0.0
08/04/2020,Plácido de Castro,AC,2,0.0
09/04/2020,Plácido de Castro,AC,3,0.0
10/04/2020,Plácido de Castro,AC,4,0.0
11/04/2020,Plácido de Castro,AC,4,0.0
12/04/2020,Plácido de Castro,AC,5,0.0
13/04/2020,Plácido de Castro,AC,7,0.0
29/03/2020,Porto Acre,AC,1,
30/03/2020,Porto Acre,AC,1,
31/03/2020,Porto Acre,AC,1,
01/04/2020,Porto Acre,AC,1,
02/04/2020,Porto Acre,AC,1,
03/04/2020,Porto Acre,AC,1,0.0
04/04/2020,Porto Acre,AC,1,0.0
05/04/2020,Porto Acre,AC,1,0.0
06/04/2020,Porto Acre,AC,1,0.0
07/04/2020,Porto Acre,AC,1,0.0
08/04/2020,Porto Acre,AC,1,0.0
09/04/2020,Porto Acre,AC,1,0.0
10/04/2020,Porto Acre,AC,1,0.0
11/04/2020,Porto Acre,AC,1,0.0
12/04/2020,Porto Acre,AC,1,0.0
13/04/2020,Porto Acre,AC,1,0.0
17/03/2020,Rio Branco,AC,3,
18/03/2020,Rio Branco,AC,3,
19/03/2020,Rio Branco,AC,4,
20/03/2020,Rio Branco,AC,7,
21/03/2020,Rio Branco,AC,11,
22/03/2020,Rio Branco,AC,11,
23/03/2020,Rio Branco,AC,17,
24/03/2020,Rio Branco,AC,21,
25/03/2020,Rio Branco,AC,23,
26/03/2020,Rio Branco,AC,23,
27/03/2020,Rio Branco,AC,25,
