data,municipio,uf,casos confirmados,mortes,fonte
29/03/2020,Acrelândia,AC,2,,https://g1.globo.com/ac/acre/noticia/2020/03/29/saude-atesta-casos-de-covid-19-no-interior-do-acre-e-numero-sobe-para-34-no-estado.ghtml
30/03/2020,Acrelândia,AC,6,,
29/03/2020,Porto Acre,AC,1,,https://g1.globo.com/ac/acre/noticia/2020/03/29/saude-atesta-casos-de-covid-19-no-interior-do-acre-e-numero-sobe-para-34-no-estado.ghtml
30/03/2020,Porto Acre,AC,1,,
17/03/2020,Rio Branco,AC,3,,https://g1.globo.com/ac/acre/noticia/2020/03/17/governo-confirma-tres-primeiros-casos-de-coronavirus-no-acre.ghtml
18/03/2020,Rio Branco,AC,3,,
19/03/2020,Rio Branco,AC,4,,
20/03/2020,Rio Branco,AC,7,,https://agencia.ac.gov.br/boletim-sesacre-no-2-desta-sexta-feira-20-sobre-o-coronavirus/
21/03/2020,Rio Branco,AC,11,,
22/03/2020,Rio Branco,AC,11,,
23/03/2020,Rio Branco,AC,17,,
24/03/2020,Rio Branco,AC,21,,
25/03/2020,Rio Branco,AC,23,,
26/03/2020,Rio Branco,AC,23,,
27/03/2020,Rio Branco,AC,25,,https://g1.globo.com/ac/acre/noticia/2020/03/27/acre-registra-25-casos-de-covid-19-em-dez-dias-aponta-novo-boletim-da-saude.ghtml
28/03/2020,Rio Branco,AC,25,,
29/03/2020,Rio Branco,AC,31,,https://g1.globo.com/ac/acre/noticia/2020/03/29/saude-atesta-casos-de-covid-19-no-interior-do-acre-e-numero-sobe-para-34-no-estado.ghtml
30/03/2020,Rio Branco,AC,34,,
08/03/2020,Maceió,AL,1,,https://g1.globo.com/al/alagoas/noticia/2020/03/08/homem-que-veio-da-italia-e-o-primeiro-caso-confirmado-de-coronavirus-em-alagoas-diz-secretaria.ghtml
09/03/2020,Maceió,AL,1,,
10/03/2020,Maceió,AL,1,,
11/03/2020,Maceió,AL,1,,
12/03/2020,Maceió,AL,1,,
13/03/2020,Maceió,AL,1,,
14/03/2020,Maceió,AL,1,,
15/03/2020,Maceió,AL,1,,
16/03/2020,Maceió,AL,1,,
17/03/2020,Maceió,AL,1,,https://g1.globo.com/al/alagoas/noticia/2020/03/17/alagoas-tem-34-casos-suspeitos-de-coronavirus-diz-ministerio-da-saude.ghtml
18/03/2020,Maceió,AL,1,,
19/03/2020,Maceió,AL,4,,https://g1.globo.com/al/alagoas/noticia/2020/03/19/secretaria-da-saude-de-alagoas-confirma-tres-novos-casos-de-coronavirus.ghtml
20/03/2020,Maceió,AL,6,,http://www.saude.al.gov.br/2020/03/20/sesau-informa-que-alagoas-tem-seis-casos-confirmados-para-covid-19/
21/03/2020,Maceió,AL,7,,
22/03/2020,Maceió,AL,7,,
23/03/2020,Maceió,AL,8,,
24/03/2020,Maceió,AL,10,,
25/03/2020,Maceió,AL,10,,
26/03/2020,Maceió,AL,10,,
27/03/2020,Maceió,AL,11,,http://www.saude.al.gov.br/2020/03/27/boletim-covid-19-27-03-20-alagoas-tem-12-casos-confirmados/
28/03/2020,Maceió,AL,13,,http://www.saude.al.gov.br/2020/03/28/boletim-28-03-2020-alagoas-tem-14-casos-para-covid-19-confirmados/
29/03/2020,Maceió,AL,16,,http://www.saude.al.gov.br/2020/03/29/boletim-29-03-2020-alagoas-tem-17-casos-confirmados-para-covid-19/
30/03/2020,Maceió,AL,16,,
25/03/2020,Porto Real do Colégio,AL,1,,
26/03/2020,Porto Real do Colégio,AL,1,,
