data,municipio,uf,casos confirmados,mortes,fonte,última atualização,validação,flag_cosistencia,flag_cosistencia_num
29/03/2020,Acrelândia,AC,2,,https://g1.globo.com/ac/acre/noticia/2020/03/29/saude-atesta-casos-de-covid-19-no-interior-do-acre-e-numero-sobe-para-34-no-estado.ghtml,Desconhecida,-999,Consistente,0
29/03/2020,Porto Acre,AC,1,,https://g1.globo.com/ac/acre/noticia/2020/03/29/saude-atesta-casos-de-covid-19-no-interior-do-acre-e-numero-sobe-para-34-no-estado.ghtml,Desconhecida,-999,Consistente,0
17/03/2020,Rio Branco,AC,3,,https://g1.globo.com/ac/acre/noticia/2020/03/17/governo-confirma-tres-primeiros-casos-de-coronavirus-no-acre.ghtml,Desconhecida,-999,Consistente,0
18/03/2020,Rio Branco,AC,3,,,Desconhecida,0,Consistente,0
19/03/2020,Rio Branco,AC,4,,,Desconhecida,1,Consistente,0
20/03/2020,Rio Branco,AC,7,,https://agencia.ac.gov.br/boletim-sesacre-no-2-desta-sexta-feira-20-sobre-o-coronavirus/,Desconhecida,3,Consistente,0
21/03/2020,Rio Branco,AC,11,,,Desconhecida,4,Consistente,0
22/03/2020,Rio Branco,AC,11,,,Desconhecida,0,Consistente,0
23/03/2020,Rio Branco,AC,17,,,Desconhecida,6,Consistente,0
24/03/2020,Rio Branco,AC,21,,,Desconhecida,4,Consistente,0
25/03/2020,Rio Branco,AC,23,,,Desconhecida,2,Consistente,0
26/03/2020,Rio Branco,AC,23,,,Desconhecida,0,Consistente,0
27/03/2020,Rio Branco,AC,25,,https://g1.globo.com/ac/acre/noticia/2020/03/27/acre-registra-25-casos-de-covid-19-em-dez-dias-aponta-novo-boletim-da-saude.ghtml,Desconhecida,2,Consistente,0
28/03/2020,Rio Branco,AC,25,,,Desconhecida,0,Consistente,0
29/03/2020,Rio Branco,AC,31,,https://g1.globo.com/ac/acre/noticia/2020/03/29/saude-atesta-casos-de-covid-19-no-interior-do-acre-e-numero-sobe-para-34-no-estado.ghtml,Desconhecida,6,Consistente,0
08/03/2020,Maceió,AL,1,,https://g1.globo.com/al/alagoas/noticia/2020/03/08/homem-que-veio-da-italia-e-o-primeiro-caso-confirmado-de-coronavirus-em-alagoas-diz-secretaria.ghtml,Desconhecida,-999,Consistente,0
09/03/2020,Maceió,AL,1,,,Desconhecida,0,Consistente,0
10/03/2020,Maceió,AL,1,,,Desconhecida,0,Consistente,0
11/03/2020,Maceió,AL,1,,,Desconhecida,0,Consistente,0
12/03/2020,Maceió,AL,1,,,Desconhecida,0,Consistente,0
13/03/2020,Maceió,AL,1,,,Desconhecida,0,Consistente,0
14/03/2020,Maceió,AL,1,,,Desconhecida,0,Consistente,0
15/03/2020,Maceió,AL,1,,,Desconhecida,0,Consistente,0
16/03/2020,Maceió,AL,1,,,Desconhecida,0,Consistente,0
17/03/2020,Maceió,AL,1,,https://g1.globo.com/al/alagoas/noticia/2020/03/17/alagoas-tem-34-casos-suspeitos-de-coronavirus-diz-ministerio-da-saude.ghtml,Desconhecida,0,Consistente,0
18/03/2020,Maceió,AL,1,,,Desconhecida,0,Consistente,0
19/03/2020,Maceió,AL,4,,https://g1.globo.com/al/alagoas/noticia/2020/03/19/secretaria-da-saude-de-alagoas-confirma-tres-novos-casos-de-coronavirus.ghtml,Desconhecida,3,Consistente,0
20/03/2020,Maceió,AL,6,,http://www.saude.al.gov.br/2020/03/20/sesau-informa-que-alagoas-tem-seis-casos-confirmados-para-covid-19/,Desconhecida,2,Consistente,0
21/03/2020,Maceió,AL,7,,,Desconhecida,1,Consistente,0
22/03/2020,Maceió,AL,7,,,Desconhecida,0,Consistente,0
23/03/2020,Maceió,AL,8,,,Desconhecida,1,Consistente,0
24/03/2020,Maceió,AL,10,,,Desconhecida,2,Consistente,0
25/03/2020,Maceió,AL,10,,,Desconhecida,0,Consistente,0
26/03/2020,Maceió,AL,10,,,Desconhecida,0,Consistente,0
27/03/2020,Maceió,AL,11,,http://www.saude.al.gov.br/2020/03/27/boletim-covid-19-27-03-20-alagoas-tem-12-casos-confirmados/,Desconhecida,1,Consistente,0
28/03/2020,Maceió,AL,13,,http://www.saude.al.gov.br/2020/03/28/boletim-28-03-2020-alagoas-tem-14-casos-para-covid-19-confirmados/,Desconhecida,2,Consistente,0
29/03/2020,Maceió,AL,16,,http://www.saude.al.gov.br/2020/03/29/boletim-29-03-2020-alagoas-tem-17-casos-confirmados-para-covid-19/,Desconhecida,3,Consistente,0
25/03/2020,Porto Real do Colégio,AL,1,,,Desconhecida,-999,Consistente,0
26/03/2020,Porto Real do Colégio,AL,1,,,Desconhecida,0,Consistente,0
27/03/2020,Porto Real do Colégio,AL,1,,http://www.saude.al.gov.br/2020/03/27/boletim-covid-19-27-03-20-alagoas-tem-12-casos-confirmados/,Desconhecida,0,Consistente,0
28/03/2020,Porto Real do Colégio,AL,1,,http://www.saude.al.gov.br/2020/03/28/boletim-28-03-2020-alagoas-tem-14-casos-para-covid-19-confirmados/,Desconhecida,0,Consistente,0
29/03/2020,Porto Real do Colégio,AL,1,,http://www.saude.al.gov.br/2020/03/29/boletim-29-03-2020-alagoas-tem-17-casos-confirmados-para-covid-19/,Desconhecida,0,Consistente,0
29/03/2020,Anori,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383,Desconhecida,-999,Consistente,0
26/03/2020,Boca do Acre,AM,1,,,Desconhecida,-999,Consistente,0
27/03/2020,Boca do Acre,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4377,Desconhecida,0,Consistente,0
28/03/2020,Boca do Acre,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4381,Desconhecida,0,Consistente,0
29/03/2020,Boca do Acre,AM,1,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383,Desconhecida,0,Consistente,0
29/03/2020,Itacoatiara,AM,2,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383,Desconhecida,-999,Consistente,0
27/03/2020,Manacapuru,AM,2,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4377,Desconhecida,-999,Consistente,0
28/03/2020,Manacapuru,AM,2,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4381,Desconhecida,0,Consistente,0
29/03/2020,Manacapuru,AM,2,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383,Desconhecida,0,Consistente,0
13/03/2020,Manaus,AM,1,,https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2020/03/13/amazonas-confirma-1-caso-de-coronavirus-no-estado-e-na-regiao-norte.htm,Desconhecida,-999,Consistente,0
14/03/2020,Manaus,AM,1,,,Desconhecida,0,Consistente,0
15/03/2020,Manaus,AM,1,,,Desconhecida,0,Consistente,0
16/03/2020,Manaus,AM,1,,https://g1.globo.com/am/amazonas/noticia/2020/03/16/paciente-que-testou-positivo-para-coronavirus-no-amazonas-esta-recuperada-diz-governo.ghtml,Desconhecida,0,Consistente,0
17/03/2020,Manaus,AM,1,,,Desconhecida,0,Consistente,0
18/03/2020,Manaus,AM,2,,https://g1.globo.com/am/amazonas/noticia/2020/03/18/manaus-tem-situacao-de-emergencia-decretada-por-conta-do-novo-coronavirus.ghtml,Desconhecida,1,Consistente,0
19/03/2020,Manaus,AM,3,,https://d24am.com/amazonas/sobe-para-tres-os-casos-do-novo-coronavirus-em-manaus-confirma-a-fvs/,Desconhecida,1,Consistente,0
20/03/2020,Manaus,AM,7,,http://www.amazonas.am.gov.br/2020/03/amazonas-tem-sete-casos-confirmados-do-novo-coronavirus/,Desconhecida,4,Consistente,0
21/03/2020,Manaus,AM,11,,,Desconhecida,4,Consistente,0
22/03/2020,Manaus,AM,25,,,Desconhecida,14,Consistente,0
23/03/2020,Manaus,AM,31,,,Desconhecida,6,Consistente,0
24/03/2020,Manaus,AM,45,,,Desconhecida,14,Consistente,0
25/03/2020,Manaus,AM,52,,,Desconhecida,7,Consistente,0
26/03/2020,Manaus,AM,63,,,Desconhecida,11,Consistente,0
27/03/2020,Manaus,AM,75,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4377,Desconhecida,12,Consistente,0
28/03/2020,Manaus,AM,105,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4381,Desconhecida,30,Consistente,0
29/03/2020,Manaus,AM,131,,http://www.saude.am.gov.br/visualizar-noticia.php?id=4383,Desconhecida,26,Consistente,0
22/03/2020,Parintins,AM,1,,,Desconhecida,-999,Consistente,0
23/03/2020,Parintins,AM,1,,,Desconhecida,0,Consistente,0
24/03/2020,Parintins,AM,2,,,Desconhecida,1,Consistente,0
25/03/2020,Parintins,AM,2,1,,Desconhecida,0,Consistente,0
26/03/2020,Parintins,AM,2,1,,Desconhecida,0,Consistente,0
27/03/2020,Parintins,AM,2,1,http://www.saude.am.gov.br/visualizar-noticia.php?id=4377,Desconhecida,0,Consistente,0
