ibge_id,state,city,qty_cases,qty_deaths
1100114,RO,JARU,1,0
1100122,RO,JI PARANA,1,0
1100205,RO,PORTO VELHO,6,1
1200013,AC,ACRELANDIA,6,0
1200401,AC,RIO BRANCO,34,0
1200807,AC,PORTO ACRE,1,0
1300102,AM,ANORI,1,0
1300706,AM,BOCA DO ACRE,1,0
1301902,AM,ITACOATIARA,2,0
1302504,AM,MANACAPURU,2,0
1302603,AM,MANAUS,140,0
1303205,AM,NOVO AIRAO,1,0
1303403,AM,PARINTINS,3,1
1303700,AM,SANTO ANTONIO DO ICA,1,0
1400100,RR,BOA VISTA,14,0
1400159,RR,BONFIM,2,0
1500800,PA,ANANINDEUA,5,0
1501402,PA,BELEM,17,0
1502400,PA,CASTANHAL,1,0
1503606,PA,ITAITUBA,1,0
1504208,PA,MARABA,1,0
1505536,PA,PARAUAPEBAS,1,0
1600303,AP,MACAPA,8,0
1702109,TO,ARAGUAINA,2,0
1721000,TO,PALMAS,9,0
2105302,MA,IMPERATRIZ,1,0
2111300,MA,SAO LUIS,22,1
2207702,PI,PARNAIBA,1,1
2210052,PI,SAO JOSE DO DIVINO,1,1
2211001,PI,TERESINA,16,2
2301000,CE,AQUIRAZ,14,0
2302206,CE,BEBERIBE,1,0
2303709,CE,CAUCAIA,1,0
2304400,CE,FORTALEZA,353,5
2304459,CE,FORTIM,1,0
2306256,CE,ITAITINGA,1,0
2307304,CE,JUAZEIRO DO NORTE,1,0
2307650,CE,MARACANAU,1,0
2307700,CE,MARANGUAPE,1,0
2308104,CE,MAURITI,1,0
2311306,CE,QUIXADA,2,0
2312908,CE,SOBRAL,5,0
2400208,RN,ACU,1,0
2401008,RN,APODI,1,0
2402006,RN,CAICO,1,0
2402501,RN,CARNAUBAIS,1,0
2403251,RN,PARNAMIRIM,10,0
2407005,RN,LUIS GOMES,1,0
2407104,RN,MACAIBA,1,0
2407807,RN,MONTE ALEGRE,1,0
2408003,RN,MOSSORO,16,1
2408102,RN,NATAL,37,0
2409100,RN,PASSA E FICA,1,0
2411056,RN,TIBAU,1,0
2412005,RN,SAO GONCALO DO AMARANTE,2,0
2412203,RN,SAO JOSE DE MIPIBU,1,0
2502607,PB,IGARACY,1,0
2504009,PB,CAMPINA GRANDE,2,0
2507507,PB,JOAO PESSOA,12,0
2510808,PB,PATOS,1,0
2516201,PB,SOUSA,1,0
2601706,PE,BELO JARDIM,1,0
2603454,PE,CAMARAGIBE,1,0
2604106,PE,CARUARU,1,0
2605459,PE,FERNANDO DE NORONHA,1,0
2606200,PE,GOIANA,1,0
2607901,PE,JABOATAO DOS GUARARAPES,6,0
2609600,PE,OLINDA,5,0
2610004,PE,PALMARES,1,0
2611101,PE,PETROLINA,2,0
2611606,PE,RECIFE,57,6
2613701,PE,SAO LOURENCO DA MATA,1,0
2704302,AL,MACEIO,16,0
2707503,AL,PORTO REAL DO COLEGIO,1,0
2800308,SE,ARACAJU,15,0
2804508,SE,NOSSA SENHORA DA GLORIA,1,0
2805703,SE,PROPRIA,2,0
2900702,BA,ALAGOINHAS,1,0
2903201,BA,BARREIRAS,1,0
2904605,BA,BRUMADO,1,0
2905701,BA,CAMACARI,1,0
2906204,BA,CANARANA,1,0
2908507,BA,CONCEICAO DO JACUIPE,1,0
2908606,BA,CONDE,1,0
2910057,BA,DIAS DAVILA,1,0
2910800,BA,FEIRA DE SANTANA,12,0
2913606,BA,ILHEUS,2,0
2914802,BA,ITABUNA,3,0
2915205,BA,ITAGIBA,1,0
2915601,BA,ITAMARAJU,1,0
2917102,BA,ITORORO,1,0
2918001,BA,JEQUIE,1,0
2918407,BA,JUAZEIRO,2,0
2919207,BA,LAURO DE FREITAS,12,0
2922904,BA,NOVA SOURE,1,0
2925204,BA,POJUCA,1,0
2925303,BA,PORTO SEGURO,10,0
2925501,BA,PRADO,2,0
2927408,BA,SALVADOR,117,2
2928950,BA,SAO DOMINGOS,1,0
2931350,BA,TEIXEIRA DE FREITAS,1,0
3106200,MG,BELO HORIZONTE,163,0
3106705,MG,BETIM,5,0
3107109,MG,BOA ESPERANCA,1,0
3107406,MG,BOM DESPACHO,1,0
3111200,MG,CAMPO BELO,1,0
3111507,MG,CAMPOS ALTOS,1,0
3114204,MG,CARMO DO CAJURU,1,0
3118601,MG,CONTAGEM,5,0
3119401,MG,CORONEL FABRICIANO,1,0
3120904,MG,CURVELO,1,0
3122306,MG,DIVINOPOLIS,9,0
3125101,MG,EXTREMA,1,0
3127701,MG,GOVERNADOR VALADARES,2,0
3128907,MG,GUIMARANIA,1,0
3131307,MG,IPATINGA,1,0
3136702,MG,JUIZ DE FORA,13,0
3137205,MG,LAGOA DA PRATA,2,0
3140001,MG,MARIANA,2,0
3143906,MG,MURIAE,1,0
3144805,MG,NOVA LIMA,19,1
3148103,MG,PATROCINIO,1,0
3151800,MG,POCOS DE CALDAS,2,0
3156700,MG,SABARA,3,0
3157807,MG,SANTA LUZIA,1,0
3162500,MG,SAO JOAO DEL REI,2,0
3166808,MG,SERRA DO SALITRE,1,0
3167202,MG,SETE LAGOAS,2,0
3168705,MG,TIMOTEO,1,0
3170107,MG,UBERABA,3,0
3170206,MG,UBERLANDIA,10,0
3170404,MG,UNAI,1,0
3201209,ES,CACHOEIRO DE ITAPEMIRIM,1,0
3201308,ES,CARIACICA,3,0
3201407,ES,CASTELO,1,0
3202405,ES,GUARAPARI,1,0
3202801,ES,ITAPEMIRIM,1,0
3203205,ES,LINHARES,4,0
3204609,ES,SANTA TERESA,1,0
3204906,ES,SAO MATEUS,1,0
3204955,ES,SAO ROQUE DO CANAA,1,0
3205002,ES,SERRA,14,0
3205200,ES,VILA VELHA,31,0
3205309,ES,VITORIA,26,0
3300100,RJ,ANGRA DOS REIS,1,0
3300407,RJ,BARRA MANSA,1,0
3300456,RJ,BELFORD ROXO,2,0
3301009,RJ,CAMPOS DOS GOYTACAZES,1,0
3301702,RJ,DUQUE DE CAXIAS,5,0
3301850,RJ,GUAPIMIRIM,1,0
3301900,RJ,ITABORAI,3,0
3302601,RJ,MANGARATIBA,1,0
3302700,RJ,MARICA,1,0
3302908,RJ,MIGUEL PEREIRA,1,1
3303302,RJ,NITEROI,47,1
3303500,RJ,NOVA IGUACU,7,0
3303906,RJ,PETROPOLIS,4,1
3304144,RJ,QUEIMADOS,1,0
3304201,RJ,RESENDE,2,0
3304300,RJ,RIO BONITO,2,1
3304524,RJ,RIO DAS OSTRAS,2,0
3304557,RJ,RIO DE JANEIRO,553,13
3304904,RJ,SAO GONCALO,7,0
3305109,RJ,SAO JOAO DE MERITI,1,0
3305554,RJ,SEROPEDICA,1,0
3305802,RJ,TERESOPOLIS,1,0
3306107,RJ,VALENCA,1,0
3306305,RJ,VOLTA REDONDA,11,1
3503901,SP,ARUJA,1,0
3505708,SP,BARUERI,6,0
3507803,SP,BRODOWSKI,1,0
3509007,SP,CAIEIRAS,3,0
3509205,SP,CAJAMAR,1,0
3509502,SP,CAMPINAS,11,0
3510609,SP,CARAPICUIBA,3,0
3513009,SP,COTIA,6,0
3513801,SP,DIADEMA,2,0
3515004,SP,EMBU DAS ARTES,3,1
3515707,SP,FERRAZ DE VASCONCELOS,3,0
3518800,SP,GUARULHOS,14,2
3519071,SP,HORTOLANDIA,1,0
3521408,SP,IRACEMAPOLIS,1,0
3522505,SP,ITAPEVI,1,0
3524006,SP,ITUPEVA,1,0
3524709,SP,JAGUARIUNA,1,0
3525003,SP,JANDIRA,1,0
3525904,SP,JUNDIAI,3,0
3527306,SP,LOUVEIRA,1,0
3528502,SP,MAIRIPORA,2,0
3529401,SP,MAUA,2,0
3530607,SP,MOGI DAS CRUZES,9,0
3534401,SP,OSASCO,14,1
3536505,SP,PAULINIA,1,0
3537305,SP,PENAPOLIS,1,0
3538709,SP,PIRACICABA,3,0
3539806,SP,POA,1,0
3540606,SP,PORTO FELIZ,1,0
3543303,SP,RIBEIRAO PIRES,1,0
3543402,SP,RIBEIRAO PRETO,5,1
3543907,SP,RIO CLARO,1,0
3547304,SP,SANTANA DE PARNAIBA,7,0
3547809,SP,SANTO ANDRE,40,0
3548500,SP,SANTOS,1,0
3548708,SP,SAO BERNARDO DO CAMPO,33,1
3548807,SP,SAO CAETANO DO SUL,27,0
3549805,SP,SAO JOSE DO RIO PRETO,3,0
3549904,SP,SAO JOSE DOS CAMPOS,5,0
3550308,SP,SAO PAULO,1233,103
3550407,SP,SAO PEDRO,1,0
3550704,SP,SAO SEBASTIAO,2,0
3552205,SP,SOROCABA,3,1
3552502,SP,SUZANO,1,0
3552809,SP,TABOAO DA SERRA,3,1
3554003,SP,TATUI,1,0
3554102,SP,TAUBATE,1,0
3556206,SP,VALINHOS,1,0
3556453,SP,VARGEM GRANDE PAULISTA,2,1
4100400,PR,ALMIRANTE TAMANDARE,2,0
4104204,PR,CAMPO LARGO,3,0
4104303,PR,CAMPO MOURAO,2,0
4104808,PR,CASCAVEL,8,1
4104907,PR,CASTRO,1,0
4105508,PR,CIANORTE,7,0
4105805,PR,COLOMBO,2,0
4106209,PR,CONTENDA,1,0
4106902,PR,CURITIBA,80,0
4107603,PR,FAXINAL,1,0
4108304,PR,FOZ DO IGUACU,10,0
4108601,PR,GOIOERE,1,0
4108809,PR,GUAIRA,2,0
4109401,PR,GUARAPUAVA,1,0
4110805,PR,IRETAMA,1,0
4113700,PR,LONDRINA,7,0
4114609,PR,MARECHAL CANDIDO RONDON,1,0
4115200,PR,MARINGA,8,2
4115309,PR,MARIOPOLIS,1,0
4115705,PR,MATINHOS,1,0
4115804,PR,MEDIANEIRA,1,0
4118402,PR,PARANAVAI,2,0
4118501,PR,PATO BRANCO,2,0
4118808,PR,PEABIRU,1,0
4119152,PR,PINHAIS,2,0
4119905,PR,PONTA GROSSA,3,0
4120705,PR,QUATIGUA,1,0
4122206,PR,RIO BRANCO DO SUL,1,0
4122305,PR,RIO NEGRO,1,0
4125506,PR,SAO JOSE DOS PINHAIS,1,0
4127106,PR,TELEMACO BORBA,1,0
4127304,PR,TERRA RICA,1,0
4128104,PR,UMUARAMA,2,0
4128203,PR,UNIAO DA VITORIA,1,0
4201208,SC,ANTONIO CARLOS,1,0
4201950,SC,BALNEARIO ARROIO DO SILVA,1,0
4202008,SC,BALNEARIO CAMBORIU,9,0
4202404,SC,BLUMENAU,14,0
4202800,SC,BRACO DO NORTE,12,0
4202909,SC,BRUSQUE,2,0
4203204,SC,CAMBORIU,7,0
4203709,SC,CANELINHA,1,0
4204202,SC,CHAPECO,5,0
4204608,SC,CRICIUMA,15,0
4205407,SC,FLORIANOPOLIS,50,1
4205902,SC,GASPAR,2,0
