ibge_id,city,state,region,microregion,mesoregion,avg_per_capita_income,median_per_capita_income,area_square_kilometer,inhabitants_per_square_kilometer,inhabitants
1100015,ALTA FLORESTA DOESTE,RO,Norte,Cacoal,Leste Rondoniense,556.7,340.0,7067.0,3.45,24381.15
1100049,CACOAL,RO,Norte,Cacoal,Leste Rondoniense,804.7,466.7,3792.8,20.72,78586.816
1100098,ESPIGAO DOESTE,RO,Norte,Cacoal,Leste Rondoniense,650.4,410.3,4518.0,6.36,28734.480000000003
1100288,ROLIM DE MOURA,RO,Norte,Cacoal,Leste Rondoniense,695.5,440.0,1457.9,34.74,50647.446
1100296,SANTA LUZIA DOESTE,RO,Norte,Cacoal,Leste Rondoniense,509.5,340.0,1197.8,7.42,8887.676
1100379,ALTO ALEGRE DOS PARECIS,RO,Norte,Cacoal,Leste Rondoniense,396.6,270.7,3958.3,3.24,12824.892000000002
1100502,NOVO HORIZONTE DO OESTE,RO,Norte,Cacoal,Leste Rondoniense,382.7,260.5,843.4,12.14,10238.876
1100908,CASTANHEIRAS,RO,Norte,Cacoal,Leste Rondoniense,502.2,340.0,892.8,4.0,3571.2
1101203,MINISTRO ANDREAZZA,RO,Norte,Cacoal,Leste Rondoniense,506.7,325.0,798.1,12.97,10351.357
1100023,ARIQUEMES,RO,Norte,Ariquemes,Leste Rondoniense,741.0,455.0,4426.6,20.41,90346.906
1100130,MACHADINHO DOESTE,RO,Norte,Ariquemes,Leste Rondoniense,463.7,303.3,8509.3,3.66,31144.037999999997
1100262,RIO CRESPO,RO,Norte,Ariquemes,Leste Rondoniense,480.7,300.0,1717.6,1.93,3314.968
1100403,ALTO PARAISO,RO,Norte,Ariquemes,Leste Rondoniense,546.8,337.8,2651.8,6.46,17130.628
1100601,CACAULANDIA,RO,Norte,Ariquemes,Leste Rondoniense,541.6,324.0,1961.8,2.92,5728.456
1101401,MONTE NEGRO,RO,Norte,Ariquemes,Leste Rondoniense,485.2,340.0,1931.4,7.3,14099.220000000001
1101757,VALE DO ANARI,RO,Norte,Ariquemes,Leste Rondoniense,446.3,255.0,3135.1,2.99,9373.949
1100031,CABIXI,RO,Norte,Colorado do Oeste,Leste Rondoniense,495.7,332.5,1314.4,4.8,6309.12
1100056,CEREJEIRAS,RO,Norte,Colorado do Oeste,Leste Rondoniense,607.9,400.0,2783.3,6.12,17033.796000000002
1100064,COLORADO DO OESTE,RO,Norte,Colorado do Oeste,Leste Rondoniense,568.7,400.0,1451.1,12.81,18588.591
1100072,CORUMBIARA,RO,Norte,Colorado do Oeste,Leste Rondoniense,437.8,322.5,3060.3,2.87,8783.061000000002
1101468,PIMENTEIRAS DO OESTE,RO,Norte,Colorado do Oeste,Leste Rondoniense,539.9,366.7,6014.7,0.38,2285.586
1100080,COSTA MARQUES,RO,Norte,Guajará-Mirim,Madeira-Guaporé,401.5,255.0,4987.2,2.74,13664.928
1100106,GUAJARA MIRIM,RO,Norte,Guajará-Mirim,Madeira-Guaporé,562.2,346.8,24855.8,1.68,41757.744
1101492,SAO FRANCISCO DO GUAPORE,RO,Norte,Guajará-Mirim,Madeira-Guaporé,525.4,325.0,10959.8,1.46,16001.307999999999
1100114,JARU,RO,Norte,Ji-Paraná,Leste Rondoniense,605.1,400.0,2944.1,17.66,51992.806
1100122,JI PARANA,RO,Norte,Ji-Paraná,Leste Rondoniense,776.9,475.0,6896.7,16.91,116623.197
1100155,OURO PRETO DO OESTE,RO,Norte,Ji-Paraná,Leste Rondoniense,612.1,408.0,1969.9,19.25,37920.575000000004
1100254,PRESIDENTE MEDICI,RO,Norte,Ji-Paraná,Leste Rondoniense,565.8,364.0,1758.5,12.69,22315.364999999998
1101005,GOVERNADOR JORGE TEIXEIRA,RO,Norte,Ji-Paraná,Leste Rondoniense,431.8,255.0,5067.4,2.07,10489.517999999998
1101302,MIRANTE DA SERRA,RO,Norte,Ji-Paraná,Leste Rondoniense,535.7,296.2,1191.9,9.97,11883.243000000002
1101435,NOVA UNIAO,RO,Norte,Ji-Paraná,Leste Rondoniense,378.1,266.7,807.1,9.28,7489.888
1101559,TEIXEIROPOLIS,RO,Norte,Ji-Paraná,Leste Rondoniense,494.1,377.5,460.0,10.63,4889.8
1101609,THEOBROMA,RO,Norte,Ji-Paraná,Leste Rondoniense,449.1,293.2,2197.4,4.85,10657.39
1101708,URUPA,RO,Norte,Ji-Paraná,Leste Rondoniense,426.6,291.7,831.9,15.6,12977.64
1101807,VALE DO PARAISO,RO,Norte,Ji-Paraná,Leste Rondoniense,482.2,255.0,965.7,8.5,8208.45
1100148,NOVA BRASILANDIA DOESTE,RO,Norte,Alvorada D'Oeste,Leste Rondoniense,533.2,319.0,1155.4,17.2,19872.88
1100320,SAO MIGUEL DO GUAPORE,RO,Norte,Alvorada D'Oeste,Leste Rondoniense,526.1,300.0,8007.9,2.73,21861.567
1100346,ALVORADA DOESTE,RO,Norte,Alvorada D'Oeste,Leste Rondoniense,509.1,340.0,3029.2,5.56,16842.352
1101500,SERINGUEIRAS,RO,Norte,Alvorada D'Oeste,Leste Rondoniense,514.3,250.0,3773.5,3.08,11622.380000000001
1100189,PIMENTA BUENO,RO,Norte,Vilhena,Leste Rondoniense,785.5,448.3,6240.9,5.42,33825.678
1100304,VILHENA,RO,Norte,Vilhena,Leste Rondoniense,813.8,510.0,11519.0,6.62,76255.78
1100924,CHUPINGUAIA,RO,Norte,Vilhena,Leste Rondoniense,521.5,375.0,5126.7,1.62,8305.254
1101450,PARECIS,RO,Norte,Vilhena,Leste Rondoniense,423.9,260.0,2548.7,1.89,4817.043
1101476,PRIMAVERA DE RONDONIA,RO,Norte,Vilhena,Leste Rondoniense,483.1,328.8,605.7,5.82,3525.1740000000004
1101484,SAO FELIPE DOESTE,RO,Norte,Vilhena,Leste Rondoniense,395.0,278.0,541.6,11.11,6017.176
1100205,PORTO VELHO,RO,Norte,Porto Velho,Madeira-Guaporé,995.7,554.7,34096.4,12.57,428591.748
1100338,NOVA MAMORE,RO,Norte,Porto Velho,Madeira-Guaporé,428.0,274.8,10071.7,2.24,22560.608000000004
1100452,BURITIS,RO,Norte,Porto Velho,Madeira-Guaporé,485.7,337.5,3265.8,9.92,32396.736
1100700,CAMPO NOVO DE RONDONIA,RO,Norte,Porto Velho,Madeira-Guaporé,623.2,271.3,3442.0,3.68,12666.560000000001
1100809,CANDEIAS DO JAMARI,RO,Norte,Porto Velho,Madeira-Guaporé,574.1,355.0,6843.9,2.89,19778.871
1100940,CUJUBIM,RO,Norte,Porto Velho,Madeira-Guaporé,546.0,350.0,3863.9,4.1,15841.99
1101104,ITAPUA DO OESTE,RO,Norte,Porto Velho,Madeira-Guaporé,453.4,300.0,4081.6,2.1,8571.36
1200013,ACRELANDIA,AC,Norte,Rio Branco,Vale do Acre,340.8,217.5,1807.9,6.94,12546.826000000001
1200138,BUJARI,AC,Norte,Rio Branco,Vale do Acre,394.8,233.3,3034.8,2.79,8467.092
1200179,CAPIXABA,AC,Norte,Rio Branco,Vale do Acre,386.0,236.7,1702.6,5.17,8802.442
1200385,PLACIDO DE CASTRO,AC,Norte,Rio Branco,Vale do Acre,372.3,226.8,1943.2,8.86,17216.752
1200401,RIO BRANCO,AC,Norte,Rio Branco,Vale do Acre,808.1,408.0,8835.7,38.03,336021.67100000003
1200450,SENADOR GUIOMARD,AC,Norte,Rio Branco,Vale do Acre,507.3,291.4,2321.5,8.69,20173.835
1200807,PORTO ACRE,AC,Norte,Rio Branco,Vale do Acre,366.4,218.6,2604.7,5.71,14872.837
1200054,ASSIS BRASIL,AC,Norte,Brasiléia,Vale do Acre,377.2,244.3,4974.2,1.22,6068.523999999999
1200104,BRASILEIA,AC,Norte,Brasiléia,Vale do Acre,399.1,244.0,3916.5,5.46,21384.09
1200252,EPITACIOLANDIA,AC,Norte,Brasiléia,Vale do Acre,513.1,265.0,1654.8,9.13,15108.324
1200708,XAPURI,AC,Norte,Brasiléia,Vale do Acre,442.9,250.0,5347.3,3.01,16095.373
1200203,CRUZEIRO DO SUL,AC,Norte,Cruzeiro do Sul,Vale do Juruá,514.8,255.7,8779.2,8.94,78486.048
1200336,MANCIO LIMA,AC,Norte,Cruzeiro do Sul,Vale do Juruá,346.9,186.7,5453.0,2.79,15213.87
1200351,MARECHAL THAUMATURGO,AC,Norte,Cruzeiro do Sul,Vale do Juruá,204.4,131.4,8191.7,1.74,14253.557999999999
1200393,PORTO WALTER,AC,Norte,Cruzeiro do Sul,Vale do Juruá,264.6,157.5,6443.9,1.42,9150.338
1200427,RODRIGUES ALVES,AC,Norte,Cruzeiro do Sul,Vale do Juruá,234.7,125.0,3077.0,4.68,14400.359999999999
1200302,FEIJO,AC,Norte,Tarauacá,Vale do Juruá,335.0,175.3,27974.6,1.16,32450.535999999996
1200328,JORDAO,AC,Norte,Tarauacá,Vale do Juruá,247.4,102.0,5357.3,1.23,6589.479
1200609,TARAUACA,AC,Norte,Tarauacá,Vale do Juruá,314.4,166.7,20171.0,1.76,35500.96
1200344,MANOEL URBANO,AC,Norte,Sena Madureira,Vale do Acre,366.1,226.4,10634.5,0.75,7975.875
1200435,SANTA ROSA DO PURUS,AC,Norte,Sena Madureira,Vale do Acre,326.1,108.0,6145.6,0.76,4670.656
1200500,SENA MADUREIRA,AC,Norte,Sena Madureira,Vale do Acre,389.7,258.2,23751.3,1.6,38002.08
1300029,ALVARAES,AM,Norte,Tefé,Centro Amazonense,209.1,125.0,5911.8,2.38,14070.083999999999
1304203,TEFE,AM,Norte,Tefé,Centro Amazonense,473.1,230.0,23704.5,2.59,61394.655
1304260,UARINI,AM,Norte,Tefé,Centro Amazonense,285.4,157.3,10246.2,1.16,11885.592
1300060,AMATURA,AM,Norte,Alto Solimões,Sudoeste Amazonense,203.5,113.3,4758.7,1.99,9469.813
1300201,ATALAIA DO NORTE,AM,Norte,Alto Solimões,Sudoeste Amazonense,242.0,151.7,76351.9,0.2,15270.38
1300607,BENJAMIN CONSTANT,AM,Norte,Alto Solimões,Sudoeste Amazonense,257.8,162.0,8793.4,3.8,33414.92
1301605,FONTE BOA,AM,Norte,Alto Solimões,Sudoeste Amazonense,252.8,138.4,12110.9,1.88,22768.492
1302306,JUTAI,AM,Norte,Alto Solimões,Sudoeste Amazonense,257.6,131.7,69551.9,0.26,18083.494
1303700,SANTO ANTONIO DO ICA,AM,Norte,Alto Solimões,Sudoeste Amazonense,168.2,89.6,12307.2,1.99,24491.328
1303908,SAO PAULO DE OLIVENCA,AM,Norte,Alto Solimões,Sudoeste Amazonense,192.8,111.4,19745.9,1.59,31395.981000000003
1304062,TABATINGA,AM,Norte,Alto Solimões,Sudoeste Amazonense,389.0,172.5,3224.9,16.21,52275.629
1304237,TONANTINS,AM,Norte,Alto Solimões,Sudoeste Amazonense,227.8,165.5,6432.7,2.66,17110.982
1300086,ANAMA,AM,Norte,Coari,Centro Amazonense,264.5,166.7,2453.9,4.16,10208.224
1300102,ANORI,AM,Norte,Coari,Centro Amazonense,262.7,151.8,5795.3,2.82,16342.746
1300631,BERURI,AM,Norte,Coari,Centro Amazonense,249.6,127.5,17250.7,0.9,15525.630000000001
1300839,CAAPIRANGA,AM,Norte,Coari,Centro Amazonense,281.7,185.0,9456.6,1.16,10969.655999999999
1301209,COARI,AM,Norte,Coari,Centro Amazonense,384.8,207.5,57921.9,1.31,75877.689
1301308,CODAJAS,AM,Norte,Coari,Centro Amazonense,264.1,150.0,18711.5,1.24,23202.26
1300144,APUI,AM,Norte,Madeira,Sul Amazonense,430.8,255.0,54239.9,0.33,17899.167
1300805,BORBA,AM,Norte,Madeira,Sul Amazonense,273.0,151.7,44251.7,0.79,34958.843
1301704,HUMAITA,AM,Norte,Madeira,Sul Amazonense,460.2,218.6,33071.8,1.34,44316.21200000001
1302702,MANICORE,AM,Norte,Madeira,Sul Amazonense,342.3,190.4,48282.7,0.97,46834.219
1303304,NOVO ARIPUANA,AM,Norte,Madeira,Sul Amazonense,264.2,172.5,41188.5,0.52,21418.02
1300300,AUTAZES,AM,Norte,Manaus,Centro Amazonense,274.8,170.0,7599.4,4.23,32145.462000000003
1301100,CAREIRO,AM,Norte,Manaus,Centro Amazonense,271.3,156.9,6091.5,5.37,32711.355
1301159,CAREIRO DA VARZEA,AM,Norte,Manaus,Centro Amazonense,254.0,162.4,2631.1,9.09,23916.699
1301852,IRANDUBA,AM,Norte,Manaus,Centro Amazonense,413.4,250.0,2214.3,18.42,40787.40600000001
1302504,MANACAPURU,AM,Norte,Manaus,Centro Amazonense,377.9,226.4,7330.1,11.62,85175.762
1302553,MANAQUIRI,AM,Norte,Manaus,Centro Amazonense,285.5,165.0,3975.8,5.73,22781.334000000003
1302603,MANAUS,AM,Norte,Manaus,Centro Amazonense,844.3,403.3,11401.1,158.06,1802057.8660000002
1300409,BARCELOS,AM,Norte,Rio Negro,Norte Amazonense,333.4,175.7,122476.0,0.21,25719.96
