state,date,qty_cases,qty_new_cases,cumm_qty_new_cases_14d,category
AC,2020-03-17,3,3,3,real
AC,2020-03-18,3,0,3,real
AC,2020-03-19,4,1,4,real
AC,2020-03-20,7,3,7,real
AC,2020-03-21,11,4,11,real
AC,2020-03-22,11,0,11,real
AC,2020-03-23,17,6,17,real
AC,2020-03-24,21,4,21,real
AC,2020-03-25,23,2,23,real
AC,2020-03-26,23,0,23,real
AC,2020-03-27,25,2,25,real
AC,2020-03-28,25,0,25,real
AC,2020-03-29,34,9,34,real
AC,2020-03-30,41,7,41,real
AC,2020-03-31,42,1,39,real
AC,2020-04-01,43,1,40,real
AC,2020-04-02,45,2,41,real
AC,2020-04-03,46,1,39,real
AC,2020-04-04,46,0,35,real
AC,2020-04-05,48,2,37,real
AC,2020-04-06,50,2,33,real
AC,2020-04-07,50,0,29,real
AC,2020-04-08,58,8,35,real
AC,2020-04-09,62,4,39,real
AC,2020-04-10,70,8,45,real
AC,2020-04-11,72,2,47,real
AC,2020-04-12,77,5,43,real
AC,2020-04-13,90,13,49,real
AC,2020-04-14,99,9,57,real
AC,2020-04-15,101,2,58,real
AC,2020-04-16,101,0,56,prediction
AC,2020-04-17,101,0,55,prediction
AC,2020-04-18,101,0,55,prediction
AC,2020-04-19,101,0,53,prediction
AC,2020-04-20,101,0,51,prediction
AC,2020-04-21,101,0,51,prediction
AC,2020-04-22,101,0,43,prediction
AC,2020-04-23,101,0,39,prediction
AC,2020-04-24,101,0,31,prediction
AC,2020-04-25,101,0,29,prediction
AC,2020-04-26,101,0,24,prediction
AC,2020-04-27,101,0,11,prediction
AC,2020-04-28,101,0,2,prediction
AC,2020-04-29,101,0,0,prediction
AC,2020-04-30,101,0,0,prediction
AC,2020-05-01,101,0,0,prediction
AC,2020-05-02,101,0,0,prediction
AC,2020-05-03,101,0,0,prediction
AC,2020-05-04,101,0,0,prediction
AC,2020-05-05,101,0,0,prediction
AC,2020-05-06,101,0,0,prediction
AC,2020-05-07,101,0,0,prediction
AC,2020-05-08,101,0,0,prediction
AC,2020-05-09,101,0,0,prediction
AC,2020-05-10,101,0,0,prediction
AC,2020-05-11,101,0,0,prediction
AC,2020-05-12,101,0,0,prediction
AC,2020-05-13,101,0,0,prediction
AC,2020-05-14,101,0,0,prediction
AC,2020-05-15,101,0,0,prediction
AC,2020-05-16,101,0,0,prediction
AC,2020-05-17,101,0,0,prediction
AC,2020-05-18,101,0,0,prediction
AC,2020-05-19,101,0,0,prediction
AC,2020-05-20,101,0,0,prediction
AM,2020-03-13,1,1,1,real
AM,2020-03-14,1,0,1,real
AM,2020-03-15,1,0,1,real
AM,2020-03-16,1,0,1,real
AM,2020-03-17,1,0,1,real
AM,2020-03-18,2,1,2,real
AM,2020-03-19,3,1,3,real
AM,2020-03-20,7,4,7,real
AM,2020-03-21,11,4,11,real
AM,2020-03-22,26,15,26,real
AM,2020-03-23,32,6,32,real
AM,2020-03-24,47,15,47,real
AM,2020-03-25,54,7,54,real
AM,2020-03-26,67,13,67,real
AM,2020-03-27,81,14,80,real
AM,2020-03-28,111,30,110,real
AM,2020-03-29,140,29,139,real
AM,2020-03-30,151,11,150,real
AM,2020-03-31,175,24,174,real
AM,2020-04-01,199,24,197,real
AM,2020-04-02,229,30,226,real
AM,2020-04-03,260,31,253,real
AM,2020-04-04,311,51,300,real
AM,2020-04-05,417,106,391,real
AM,2020-04-06,532,115,500,real
AM,2020-04-07,637,105,590,real
AM,2020-04-08,804,167,750,real
AM,2020-04-09,899,95,832,real
AM,2020-04-10,981,82,900,real
AM,2020-04-11,1050,69,939,real
AM,2020-04-12,1206,156,1066,real
AM,2020-04-13,1275,69,1124,real
AM,2020-04-14,1484,209,1309,real
AM,2020-04-15,1554,70,1355,real
AM,2020-04-16,1873,319,1644,prediction
AM,2020-04-17,2313,440,2053,prediction
AM,2020-04-18,2812,499,2501,prediction
AM,2020-04-19,3464,652,3047,prediction
AM,2020-04-20,4292,828,3760,prediction
AM,2020-04-21,4816,524,4179,prediction
AM,2020-04-22,5347,531,4543,prediction
AM,2020-04-23,6007,660,5108,prediction
AM,2020-04-24,6636,629,5655,prediction
AM,2020-04-25,7317,681,6267,prediction
AM,2020-04-26,7585,268,6379,prediction
AM,2020-04-27,7624,39,6349,prediction
AM,2020-04-28,7624,0,6140,prediction
AM,2020-04-29,7624,0,6070,prediction
AM,2020-04-30,7624,0,5751,prediction
AM,2020-05-01,7624,0,5311,prediction
AM,2020-05-02,7624,0,4812,prediction
AM,2020-05-03,7624,0,4160,prediction
AM,2020-05-04,7624,0,3332,prediction
AM,2020-05-05,7624,0,2808,prediction
AM,2020-05-06,7624,0,2277,prediction
AM,2020-05-07,7624,0,1617,prediction
AM,2020-05-08,7624,0,988,prediction
AM,2020-05-09,7624,0,307,prediction
AM,2020-05-10,7624,0,39,prediction
AM,2020-05-11,7624,0,0,prediction
AM,2020-05-12,7624,0,0,prediction
AM,2020-05-13,7624,0,0,prediction
AM,2020-05-14,7624,0,0,prediction
AM,2020-05-15,7624,0,0,prediction
AM,2020-05-16,7624,0,0,prediction
AM,2020-05-17,7624,0,0,prediction
AM,2020-05-18,7624,0,0,prediction
AM,2020-05-19,7624,0,0,prediction
AM,2020-05-20,7624,0,0,prediction
AP,2020-03-20,1,1,1,real
AP,2020-03-21,1,0,1,real
AP,2020-03-22,1,0,1,real
AP,2020-03-23,1,0,1,real
AP,2020-03-24,1,0,1,real
AP,2020-03-25,2,1,2,real
AP,2020-03-26,2,0,2,real
AP,2020-03-27,3,1,3,real
AP,2020-03-28,4,1,4,real
AP,2020-03-29,4,0,4,real
AP,2020-03-30,8,4,8,real
AP,2020-03-31,10,2,10,real
AP,2020-04-01,11,1,11,real
AP,2020-04-02,12,1,12,real
AP,2020-04-03,19,7,18,real
AP,2020-04-04,29,10,28,real
AP,2020-04-05,32,3,31,real
AP,2020-04-06,39,7,38,real
AP,2020-04-07,48,9,47,real
AP,2020-04-08,107,59,105,real
AP,2020-04-09,110,3,108,real
AP,2020-04-10,166,56,163,real
AP,2020-04-11,193,27,189,real
AP,2020-04-12,237,44,233,real
AP,2020-04-13,244,7,236,real
AP,2020-04-14,308,64,298,real
AP,2020-04-15,340,32,329,real
AP,2020-04-16,507,167,495,prediction
AP,2020-04-17,741,234,722,prediction
AP,2020-04-18,741,0,712,prediction
AP,2020-04-19,741,0,709,prediction
AP,2020-04-20,741,0,702,prediction
AP,2020-04-21,741,0,693,prediction
AP,2020-04-22,741,0,634,prediction
AP,2020-04-23,741,0,631,prediction
AP,2020-04-24,741,0,575,prediction
AP,2020-04-25,741,0,548,prediction
AP,2020-04-26,741,0,504,prediction
AP,2020-04-27,741,0,497,prediction
AP,2020-04-28,741,0,433,prediction
AP,2020-04-29,741,0,401,prediction
AP,2020-04-30,741,0,234,prediction
AP,2020-05-01,741,0,0,prediction
AP,2020-05-02,741,0,0,prediction
AP,2020-05-03,741,0,0,prediction
AP,2020-05-04,741,0,0,prediction
AP,2020-05-05,741,0,0,prediction
AP,2020-05-06,741,0,0,prediction
AP,2020-05-07,741,0,0,prediction
AP,2020-05-08,741,0,0,prediction
AP,2020-05-09,741,0,0,prediction
AP,2020-05-10,741,0,0,prediction
AP,2020-05-11,741,0,0,prediction
AP,2020-05-12,741,0,0,prediction
AP,2020-05-13,741,0,0,prediction
AP,2020-05-14,741,0,0,prediction
AP,2020-05-15,741,0,0,prediction
AP,2020-05-16,741,0,0,prediction
AP,2020-05-17,741,0,0,prediction
AP,2020-05-18,741,0,0,prediction
AP,2020-05-19,741,0,0,prediction
AP,2020-05-20,741,0,0,prediction
BA,2020-03-06,1,1,1,real
BA,2020-03-07,2,1,2,real
BA,2020-03-08,2,0,2,real
BA,2020-03-09,2,0,2,real
BA,2020-03-10,2,0,2,real
BA,2020-03-11,3,1,3,real
BA,2020-03-12,3,0,3,real
BA,2020-03-13,7,4,7,real
BA,2020-03-14,9,2,9,real
BA,2020-03-15,9,0,9,real
BA,2020-03-16,10,1,10,real
BA,2020-03-17,14,4,14,real
BA,2020-03-18,27,13,27,real
BA,2020-03-19,31,4,31,real
BA,2020-03-20,34,3,33,real
BA,2020-03-21,41,7,39,real
BA,2020-03-22,55,14,53,real
BA,2020-03-23,63,8,61,real
BA,2020-03-24,79,16,77,real
BA,2020-03-25,91,12,88,real
BA,2020-03-26,104,13,101,real
BA,2020-03-27,123,19,116,real
BA,2020-03-28,128,5,119,real
BA,2020-03-29,157,29,148,real
BA,2020-03-30,177,20,167,real
BA,2020-03-31,218,41,204,real
BA,2020-04-01,246,28,219,real
BA,2020-04-02,267,21,236,real
BA,2020-04-03,290,23,256,real
BA,2020-04-04,336,46,295,real
BA,2020-04-05,401,65,346,real
BA,2020-04-06,437,36,374,real
BA,2020-04-07,462,25,383,real
BA,2020-04-08,515,53,424,real
